Name,Date,From ,To,Attempt,Option,Action,Destination,Total
PW Exit Poll,14/04/2016,11:00:00,11:59:59,1,0,Auto Attendant,PW Exit Poll,
PW Exit Poll,01/04/2016,09:00:00,09:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,09:00:00,09:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,16:00:00,16:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,17:00:00,17:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,17:00:00,17:59:59,,1,Message,Exit Poll End,
PW Exit Poll,01/04/2016,18:00:00,18:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,09:00:00,09:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,16:00:00,16:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,16:00:00,16:59:59,,1,Message,Exit Poll End,
PW Exit Poll,04/04/2016,16:00:00,16:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,09:00:00,09:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,09:00:00,09:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,10:00:00,10:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,11:00:00,11:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,11:00:00,11:59:59,1,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,12:00:00,12:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,13:00:00,13:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,14:00:00,14:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
PW Exit Poll,05/04/2016,15:00:00,15:59:59,,1,Message,Exit Poll End,
